#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Escherichia coli O103:H2 str. 12009	12009	19668	SAMD00060956 	PRJDA32511	Proteobacteria	Gammaproteobacteria	GCA_000010745.1 	5.52486	50.6781	chromosome:NC_013353.1/AP010958.1; plasmid pO103:NC_013354.1/AP010959.1	-	2	5911	5441	2009/09/10	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/745/GCF_000010745.1_ASM1074v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/745/GCA_000010745.1_ASM1074v1
Escherichia coli O111:H- str. 11128	11128	19668	SAMD00060957 	PRJDA32513	Proteobacteria	Gammaproteobacteria	GCA_000010765.1 	5.76608	50.4216	chromosome:NC_013364.1/AP010960.1; plasmid pO111_1:NC_013365.1/AP010961.1; plasmid pO111_2:NC_013370.1/AP010962.1; plasmid pO111_3:NC_013366.1/AP010963.1; plasmid pO111_4:NC_013367.1/AP010964.1; plasmid pO111_5:NC_013368.1/AP010965.1	-	6	6211	5672	2009/09/10	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/765/GCF_000010765.1_ASM1076v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/765/GCA_000010765.1_ASM1076v1
Escherichia coli UTI89	UTI89	19668	SAMN00000110 	PRJNA16259	Proteobacteria	Gammaproteobacteria	GCA_000013265.1 	5.17997	50.6088	chromosome:NC_007946.1/CP000243.1; plasmid pUTI89:NC_007941.1/CP000244.1	-	2	5363	5038	2006/04/05	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/265/GCF_000013265.1_ASM1326v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/265/GCA_000013265.1_ASM1326v1
Escherichia coli 536	536	19668	SAMN02604181 	PRJNA16235	Proteobacteria	Gammaproteobacteria	GCA_000013305.1 	4.93892	50.5	chromosome:NC_008253.1/CP000247.1	-	1	5014	4623	2006/07/13	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/305/GCF_000013305.1_ASM1330v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/305/GCA_000013305.1_ASM1330v1
Escherichia coli APEC O1	APEC O1	19668	SAMN02603424 	PRJNA16718	Proteobacteria	Gammaproteobacteria	GCA_000014845.1 	5.49765	50.2915	chromosome:NC_008563.1/CP000468.1; plasmid pAPEC-O1-ColBM:NC_009837.1/DQ381420.1; plasmid pAPEC-O1-R:NC_009838.1/DQ517526.1	-	3	5772	5382	2006/10/04	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/845/GCF_000014845.1_ASM1484v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/845/GCA_000014845.1_ASM1484v1
Escherichia coli O139:H28 str. E24377A	E24377A	19668	SAMN02604038 	PRJNA13960	Proteobacteria	Gammaproteobacteria	GCA_000017745.1 	5.24929	50.5414	chromosome:NC_009801.1/CP000800.1; plasmid pETEC_35:NC_009787.1/CP000796.1; plasmid pETEC_5:NC_009791.1/CP000801.1; plasmid pETEC_6:NC_009789.1/CP000798.1; plasmid pETEC_73:NC_009788.1/CP000797.1; plasmid pETEC_74:NC_009790.1/CP000799.1; plasmid pETEC_80:NC_009786.1/CP000795.1	-	7	5530	5092	2007/09/11	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/745/GCF_000017745.1_ASM1774v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/745/GCA_000017745.1_ASM1774v1
Escherichia coli HS	HS	19668	SAMN02604037 	PRJNA13959	Proteobacteria	Gammaproteobacteria	GCA_000017765.1 	4.64354	50.8	chromosome:NC_009800.1/CP000802.1	-	1	4757	4407	2007/09/10	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/765/GCF_000017765.1_ASM1776v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1
Escherichia coli B str. REL606	REL606	19668	SAMN02603421 	PRJNA18281	Proteobacteria	Gammaproteobacteria	GCA_000017985.1 	4.62981	50.8	chromosome:NC_012967.1/CP000819.1	-	1	4753	4401	2009/07/15	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/985/GCF_000017985.1_ASM1798v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/985/GCA_000017985.1_ASM1798v1
Escherichia coli ATCC 8739	ATCC 8739	19668	SAMN02598405 	PRJNA18083	Proteobacteria	Gammaproteobacteria	GCA_000019385.1 	4.74622	50.9	chromosome:NC_010468.1/CP000946.1	-	1	4827	4494	2008/03/11	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/385/GCF_000019385.1_ASM1938v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/385/GCA_000019385.1_ASM1938v1
Escherichia coli str. K-12 substr. DH10B	K-12 substr. DH10B	19668	SAMN02604262 	PRJNA20079	Proteobacteria	Gammaproteobacteria	GCA_000019425.1 	4.68614	50.8	chromosome:NC_010473.1/CP000948.1	-	1	4861	4504	2008/03/14	2017/04/20	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/425/GCF_000019425.1_ASM1942v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/425/GCA_000019425.1_ASM1942v1
Escherichia coli SMS-3-5	SMS-3-5	19668	SAMN02604066 	PRJNA19469	Proteobacteria	Gammaproteobacteria	GCA_000019645.1 	5.21538	50.4954	chromosome:NC_010498.1/CP000970.1; plasmid pSMS35_130:NC_010488.1/CP000971.1; plasmid pSMS35_3:NC_010487.1/CP000974.1; plasmid pSMS35_4:NC_010486.1/CP000973.1; plasmid pSMS35_8:NC_010485.1/CP000972.1	-	5	5332	4917	2008/03/20	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/645/GCF_000019645.1_ASM1964v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/645/GCA_000019645.1_ASM1964v1
Escherichia coli O157:H7 str. EC4115	EC4115	19668	SAMN02603441 	PRJNA27739	Proteobacteria	Gammaproteobacteria	GCA_000021125.1 	5.70417	50.386	chromosome:NC_011353.1/CP001164.1; plasmid pEC4115:NC_011351.1/CP001165.1; plasmid pO157:NC_011350.1/CP001163.1	-	3	6135	5697	2008/10/08	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/125/GCF_000021125.1_ASM2112v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/125/GCA_000021125.1_ASM2112v1
Escherichia coli O157:H7 str. TW14359	TW14359	19668	SAMN02604255 	PRJNA30045	Proteobacteria	Gammaproteobacteria	GCA_000022225.1 	5.62274	50.4563	chromosome:NC_013008.1/CP001368.1; plasmid pO157:NC_013010.1/CP001369.1	-	2	6021	5590	2009/07/23	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/225/GCF_000022225.1_ASM2222v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/225/GCA_000022225.1_ASM2222v1
Escherichia coli BW2952	K-12 substr. BW2952	19668	SAMN02603900 	PRJNA33775	Proteobacteria	Gammaproteobacteria	GCA_000022345.1 	4.57816	50.8	chromosome:NC_012759.1/CP001396.1	-	1	4732	4409	2009/06/04	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/345/GCF_000022345.1_ASM2234v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/345/GCA_000022345.1_ASM2234v1
Escherichia coli BL21(DE3)	BL21(DE3)	19668	SAMN02603478 	PRJNA20713	Proteobacteria	Gammaproteobacteria	GCA_000022665.2 	4.55895	50.8	chromosome:NC_012971.2/CP001509.3	-	1	4700	4339	2009/07/15	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/665/GCF_000022665.1_ASM2266v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/665/GCA_000022665.2_ASM2266v1
Escherichia coli DH1	DH1	19668	SAMN02598470 	PRJNA30031	Proteobacteria	Gammaproteobacteria	GCA_000023365.1 	4.63071	50.8	chromosome:NC_017625.1/CP001637.1	-	1	4764	4441	2009/10/05	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/365/GCF_000023365.1_ASM2336v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/365/GCA_000023365.1_ASM2336v1
Escherichia coli 'BL21-Gold(DE3)pLysS AG'	BL21-Gold(DE3)pLysS AG	19668	SAMN00002656 	PRJNA30681	Proteobacteria	Gammaproteobacteria	GCA_000023665.1 	4.57094	50.8	chromosome:NC_012947.1/CP001665.1	-	1	4738	4368	2009/07/09	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/665/GCF_000023665.1_ASM2366v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/665/GCA_000023665.1_ASM2366v1
Escherichia coli O55:H7 str. CB9615	CB9615	19668	SAMN02603636 	PRJNA42729	Proteobacteria	Gammaproteobacteria	GCA_000025165.1 	5.45235	50.4806	chromosome:NC_013941.1/CP001846.1; plasmid pO55:NC_013942.1/CP001847.1	-	2	5714	5310	2010/03/08	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/165/GCF_000025165.1_ASM2516v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/165/GCA_000025165.1_ASM2516v1
Escherichia coli IHE3034	IHE3034	19668	SAMN02603334 	PRJNA43693	Proteobacteria	Gammaproteobacteria	GCA_000025745.1 	5.10838	50.7	chromosome:NC_017628.1/CP001969.1	-	1	5304	4988	2010/04/12	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/745/GCF_000025745.1_ASM2574v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/745/GCA_000025745.1_ASM2574v1
Escherichia coli 55989	55989	19668	SAMEA3138229 	PRJNA33413	Proteobacteria	Gammaproteobacteria	GCA_000026245.1 	5.15486	50.7	chromosome:NC_011748.1/CU928145.2	-	1	5363	5004	2008/12/16	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/245/GCF_000026245.1_ASM2624v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/245/GCA_000026245.1_ASM2624v1
Escherichia coli IAI1	IAI1	19668	SAMEA3138230 	PRJNA33373	Proteobacteria	Gammaproteobacteria	GCA_000026265.1 	4.70056	50.8	chromosome:NC_011741.1/CU928160.2	-	1	4786	4513	2008/12/16	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/265/GCF_000026265.1_ASM2626v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/265/GCA_000026265.1_ASM2626v1
Escherichia coli S88	S88	19668	SAMEA3138231 	PRJNA33375	Proteobacteria	Gammaproteobacteria	GCA_000026285.2 	5.16612	50.6637	chromosome:NC_011742.1/CU928161.2; plasmid pECOS88:NC_011747.1/CU928146.1	-	2	5427	5040	2008/12/16	2017/08/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/285/GCF_000026285.1_ASM2628v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/285/GCA_000026285.2_ASM2628v2
Escherichia coli O127:H6 str. E2348/69	E2348/69	19668	SAMEA1705959 	PRJEA32571	Proteobacteria	Gammaproteobacteria	GCA_000026545.1 	5.06968	50.5524	chromosome:NC_011601.1/FM180568.1; plasmid pE2348-2:NC_011602.1/FM180570.1; plasmid pMAR2:NC_011603.1/FM180569.1	-	3	5388	4986	2008/11/26	2017/05/28	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/545/GCF_000026545.1_ASM2654v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/545/GCA_000026545.1_ASM2654v1
Escherichia coli 042	042	19668	SAMEA2272277 	PRJEA40647	Proteobacteria	Gammaproteobacteria	GCA_000027125.1 	5.35532	50.5767	chromosome:NC_017626.1/FN554766.1; plasmid pAA:NC_017627.1/FN554767.1	-	2	5580	5216	2010/01/28	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/125/GCF_000027125.1_ASM2712v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/125/GCA_000027125.1_ASM2712v1
Escherichia coli O26:H11 str. 11368	11368	19668	SAMD00060955 	PRJDA32509	Proteobacteria	Gammaproteobacteria	GCA_000091005.1 	5.85553	50.664	chromosome:NC_013361.1/AP010953.1; plasmid pO26_1:NC_013369.1/AP010954.1; plasmid pO26_2:NC_013362.1/AP010955.1; plasmid pO26_3:NC_013363.1/AP010956.1; plasmid pO26_4:NC_014543.1/AP010957.1	-	5	6377	5906	2009/09/10	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/005/GCF_000091005.1_ASM9100v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/005/GCA_000091005.1_ASM9100v1
Escherichia coli KO11FL	KO11	19668	SAMN00016779 	PRJNA33875	Proteobacteria	Gammaproteobacteria	GCA_000147855.3 	5.02932	50.7784	chromosome:NC_016902.1/CP002516.1; plasmid pEKO1101:NC_016904.1/CP002517.1; plasmid pEKO1102:NC_016903.1/CP002518.1	-	3	5217	4919	2011/02/14	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/855/GCF_000147855.2_ASM14785v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/855/GCA_000147855.3_ASM14785v3
Escherichia coli ABU 83972	ABU 83972	19668	SAMN02603258 	PRJNA38725	Proteobacteria	Gammaproteobacteria	GCA_000148365.1 	5.13296	50.6001	chromosome:NC_017631.1/CP001671.1; plasmid pABU:NC_017629.1/CP001833.1	-	2	5282	4942	2010/09/22	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/365/GCF_000148365.1_ASM14836v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/365/GCA_000148365.1_ASM14836v1
Escherichia coli UM146	UM146	19668	SAMN00017915 	PRJNA50883	Proteobacteria	Gammaproteobacteria	GCA_000148605.1 	5.10756	50.609	chromosome:NC_017632.1/CP002167.1; plasmid pUM146:NC_017630.1/CP002168.1	-	2	5286	4862	2010/09/24	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/605/GCF_000148605.1_ASM14860v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/605/GCA_000148605.1_ASM14860v1
Escherichia coli W	W	19668	SAMN02602978 	PRJNA48011	Proteobacteria	Gammaproteobacteria	GCA_000184185.1 	5.00886	50.7764	chromosome:NC_017635.1/CP002185.1; plasmid pRK1:NC_017637.1/CP002186.1; plasmid pRK2:NC_017636.1/CP002187.1	-	3	5195	4901	2010/12/14	2017/03/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/185/GCF_000184185.1_ASM18418v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/185/GCA_000184185.1_ASM18418v1
Escherichia coli ETEC H10407	ETEC H10407	19668	SAMEA2272237 	PRJEA42749	Proteobacteria	Gammaproteobacteria	GCA_000210475.1 	5.32589	50.7287	chromosome:NC_017633.1/FN649414.1; plasmid p52:NC_017721.1/FN649415.1; plasmid p58:NC_017723.1/FN649416.1; plasmid p666:NC_017722.1/FN649417.1; plasmid p948:NC_017724.1/FN649418.1	-	5	5636	5148	2010/10/21	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/475/GCF_000210475.1_ASM21047v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/475/GCA_000210475.1_ASM21047v1
Escherichia coli UMNK88	UMNK88	19668	SAMN02604221 	PRJNA42137	Proteobacteria	Gammaproteobacteria	GCA_000212715.2 	5.66676	50.7397	chromosome:NC_017641.1/CP002729.1; plasmid pUMNK88:NC_017645.1/HQ023862.1; plasmid pUMNK88_91:NC_017642.1/CP002731.1; plasmid pUMNK88_Ent:NC_017640.1/CP002732.1; plasmid pUMNK88_Hly:NC_017643.1/CP002733.1; plasmid pUMNK88_K88:NC_017639.1/CP002730.1	-	6	6108	5629	2011/05/09	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/715/GCF_000212715.2_ASM21271v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/715/GCA_000212715.2_ASM21271v2
Escherichia coli PCN033	PCN033	19668	SAMN02469619 	PRJNA64999	Proteobacteria	Gammaproteobacteria	GCA_000219515.3 	5.15687	50.6848	chromosome:NZ_CP006632.1/CP006632.1; plasmid PCN033p1:NZ_CP006633.1/CP006633.1; plasmid PCN033p2:NZ_CP006634.1/CP006634.1; plasmid PCN033p3:NZ_CP006635.1/CP006635.1	-	4	5310	4971	2015/06/08	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/515/GCF_000219515.2_ASM21951v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/515/GCA_000219515.3_ASM21951v3
Escherichia coli O7:K1 str. CE10	CE10	19668	SAMN02603406 	PRJNA63597	Proteobacteria	Gammaproteobacteria	GCA_000227625.1 	5.37873	50.5766	chromosome:NC_017646.1/CP003034.1; plasmid pCE10A:NC_017647.1/CP003035.1; plasmid pCE10B:NC_017648.1/CP003036.1; plasmid pCE10C:NC_017649.1/CP003037.1; plasmid pCE10D:NC_017650.1/CP003038.1	-	5	5575	5139	2011/10/06	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/625/GCF_000227625.1_ASM22762v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/625/GCA_000227625.1_ASM22762v1
Escherichia coli str. 'clone D i2'	clone D i2	19668	SAMN02603902 	PRJNA52021	Proteobacteria	Gammaproteobacteria	GCA_000233875.1 	5.03839	50.6	chromosome:NC_017651.1/CP002211.1	-	1	5143	4822	2011/11/03	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/875/GCF_000233875.1_ASM23387v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/875/GCA_000233875.1_ASM23387v1
Escherichia coli str. 'clone D i14'	clone D i14	19668	SAMN02603903 	PRJNA52023	Proteobacteria	Gammaproteobacteria	GCA_000233895.1 	5.03839	50.6	chromosome:NC_017652.1/CP002212.1	-	1	5142	4821	2011/11/03	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/895/GCF_000233895.1_ASM23389v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/895/GCA_000233895.1_ASM23389v1
Escherichia coli O55:H7 str. RM12579	RM12579	19668	SAMN02604278 	PRJNA68245	Proteobacteria	Gammaproteobacteria	GCA_000245515.1 	5.44831	50.4328	chromosome:NC_017656.1/CP003109.1; plasmid p12579_1:NC_017653.1/CP003110.1; plasmid p12579_2:NC_017657.1/CP003111.1; plasmid p12579_3:NC_017654.1/CP003112.1; plasmid p12579_4:NC_017658.1/CP003113.1; plasmid p12579_5:NC_017655.1/CP003114.1	-	6	5701	5278	2012/02/01	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/515/GCF_000245515.1_ASM24551v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/515/GCA_000245515.1_ASM24551v1
Escherichia coli P12b	P12b	19668	SAMN02603904 	PRJNA59455	Proteobacteria	Gammaproteobacteria	GCA_000257275.1 	4.93529	50.9	chromosome:NC_017663.1/CP002291.1	-	1	5186	4584	2012/04/02	2017/03/05	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/275/GCF_000257275.1_ASM25727v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/257/275/GCA_000257275.1_ASM25727v1
Escherichia coli KO11FL	KO11FL	19668	SAMN02604168 	PRJNA62299	Proteobacteria	Gammaproteobacteria	GCA_000258025.1 	5.02717	50.7949	chromosome:NC_017660.1/CP002970.1; plasmid pRK2:NC_017661.1/CP002971.1	-	2	5259	4811	2012/04/06	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/025/GCF_000258025.1_ASM25802v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/025/GCA_000258025.1_ASM25802v1
